timestamp,health_index,reconstruction_error,power_kva,spindle_motor_temp_c,session_id,hi_smooth,err_smooth,health_degradation_rate,health_acceleration,is_anomalous,anomaly_frequency,consecutive_anomaly_count,power_trend,spindle_temp_trend
2026-04-01 03:25:00,100.0,0.1225,13.627,29.0,0,100.0,0.13137452346289313,5.901515728939022e-16,0.0,0,0.0,0,-0.0449965034965027,-0.01748251748251643
2026-04-01 03:30:00,100.0,0.1246,13.706,28.0,0,100.0,0.1300196187703145,5.901515728939022e-16,0.0,0,0.0,0,-0.01095804195804155,-0.0524475524475518
2026-04-01 03:35:00,100.0,0.138,13.313,28.0,0,100.0,0.13161569501625162,5.901515728939022e-16,0.0,0,0.0,0,-0.00046503496503366785,-0.0419580419580416
2026-04-01 03:40:00,100.0,0.1473,12.709,28.0,0,100.0,0.1347525560130013,5.901515728939022e-16,0.0,0,0.0,0,-0.014989510489510386,-0.024475524475523935
2026-04-01 03:45:00,100.0,0.1527,13.326,29.0,0,100.0,0.13834204481040105,5.901515728939022e-16,0.0,0,0.0,0,0.0015769230769232714,0.0384615384615392
2026-04-01 03:50:00,100.0,0.1468,13.541,29.0,0,100.0,0.14003363584832085,5.901515728939022e-16,0.0,0,0.0,0,0.017996503496503537,0.05594405594405696
2026-04-01 03:55:00,100.0,0.1349,13.43,29.0,0,100.0,0.13900690867865667,5.901515728939022e-16,0.0,0,0.0,0,0.04719230769230763,0.06643356643356679
2026-04-01 04:00:00,100.0,0.1344,13.541,29.0,0,100.0,0.13808552694292536,5.901515728939022e-16,0.0,0,0.0,0,0.057975524475524655,0.06993006993007093
2026-04-01 04:05:00,100.0,0.1189,13.383,28.0,0,100.0,0.1342484215543403,5.901515728939022e-16,0.0,0,0.0,0,0.06552097902097945,0.027972027972028017
2026-04-01 09:25:00,100.0,0.4762,12.493,28.0,1,100.0,0.4762,,,0,0.0,0,,
2026-04-01 09:30:00,100.0,0.4029,12.816,28.0,1,100.0,0.46154,,,0,0.0,0,,
2026-04-01 09:35:00,100.0,0.3524,12.404,28.0,1,100.0,0.439712,,,0,0.0,0,,
2026-04-01 09:40:00,100.0,0.2987,12.497,28.0,1,100.0,0.41150960000000003,-1.4348824475542892e-14,,0,0.0,0,-0.040000000000004254,-5.4029226331374696e-15
